Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Years:,2025 to 2025,,,,,,,,,,,
,,,,,,,,,,,,
Series ID,"Jan
2025","Feb
2025","Mar
2025","Apr
2025","May
2025","Jun
2025","Jul
2025","Aug
2025","Sep
2025","Oct
2025","Nov
2025","Dec
2025"
LNS11000000,170696,170441,170641,171054,170492,170380,170412,170750,171261,,171541,171495
LNS12000000,163831,163338,163509,163898,163244,163327,163140,163370,163656,,163760,163992
LNS13000000,6865,7104,7132,7155,7248,7054,7272,7380,7605,,7781,7503
LNS14000000 ,4,4.2,4.2,4.2,4.3,4.1,4.3,4.3,4.4,,4.5,4.4
